"UNIQUEID","StreetAddress","City","State","Zip"
"454","1615 E Lincoln Ave","Orange","CA","92865"
"455","19071 Brookhurst St","Huntington Beach","CA","92646"
"456","6854 Edinger Ave","Huntington Beach","CA","92647"
"457","2929 S Halladay St, Ste D","Santa Ana","CA","92705"
"458","19500 Jamboree Rd","Irvine","CA","92612"
"459","2001 E Orangethorpe Ave","Fullerton","CA","92831"
"460","270 E 17th St, Ste 16 & 17","Costa Mesa","CA","92627"
"461","2677 N Main St, Ste 115","Santa Ana","CA","92705"
"462","379 W Central Ave, Ste A","Brea","CA","92821"
"463","12627 Westminster Blvd","Santa Ana","CA","92707"
"464","1401 S Grand Ave","Santa Ana","CA","92701"
"465","1701 W Katella Ave","Orange","CA","92867"
"466","17852 Serrano Ave","Villa Park","CA","92861"
"467","110 W Birch St, Ste 7","Brea","CA","92821"
"468","4187 Campus Dr, Ste M173","Irvine","CA","92612"
"469","3333 Bear St, Ste 151","Costa Mesa","CA","92626"
"470","1124 E Chapman Ave","Fullerton","CA","92831"
"471","571 N Grand","Orange","CA","92866"
"472","One University Dr","Orange","CA","92866"
"473","415 N Glassell St","Orange","CA","92866"
"474","386 N Center St","Orange","CA","92866"
"475","386 N Center St","Orange","CA","92866"
